doctor_id	profession_direction	profile	doctor_title	education_title	hospital	consultation_amount	cure_satisfaction	attitude_satisfaction	message
1000927087	儿科	2012年毕业于首都医科大学北京儿童医院，后工作于北京大学人民医院儿科，主要方向为儿童血液相关疾病	主治医师		北京大学人民医院	20	1.0	1.0	
1449775569	儿科	张爱军，主任医师，山东大学血液病专业医学博士，免疫学博士后，山东大学硕士生导师，美国哈佛大学访问学者，主要研究方向：儿童白血病、淋巴瘤、免疫性血小板减少症、恶性实体肿瘤等。	主任医师		山东大学齐鲁医院	20	1.0	1.0	
242269	儿科	孙念政，女，主任医师，副教授，医学博士，1991年本科毕业，从事儿科临床工作近20年。从事专业主要为儿童血液肿瘤疾病的诊治，包括儿童白血病、淋巴瘤等血液系统恶性肿瘤，以及神经母细胞瘤、肾母细胞瘤、肝母细胞瘤、生殖系统肿瘤等儿童常见实体瘤的诊断和治疗，同时擅长儿童血液系统良性疾病的诊断和治疗，如原发性血小板减少性紫癜、再生障碍性贫血、营养性贫血等疾病的诊治。在临床工作中不断学习，积累经验，在从事临床工作的同时，积极搞好教学和科研工作，负责儿科本科教学工作；承担省级科研项目2项，主编专著2部，在国内外发表论文10余篇。擅长儿童血液病及恶性肿瘤的诊疗。	主任医师	副教授	山东大学齐鲁医院	9	1.0	1.0	
144333121	儿科	孙利，现任复旦大学附属儿科医院风湿科科主任，主任医师，硕士生导师。2004年毕业于复旦大学（儿科学，博士）。对于过敏性紫癜（紫癜性肾炎），幼年特发性关节炎，儿童系统性红斑狼疮（新生儿红斑狼疮，婴幼儿起病红斑狼疮，狼疮性肾炎），幼年皮肌炎，多发性大动脉炎，ANCA相关性血管炎，白塞氏病，硬斑病，脂膜炎，自身炎症性疾病，结缔组织相关肺间质病变，等疾病有丰富的临床经验。2010年赴美国辛辛那提儿童医学中心风湿科和肾脏科访问学习，对生物制剂在儿童难治性风湿和肾脏疾病中的运用积累了较多经验。	主任医师	副教授	复旦大学附属儿科医院	69	1.0	1.0	
36450	儿科	姜毅，男，主任医师，副教授，儿Ⅱ科主任，1963年8月生，医学硕士。擅长：儿科呼吸道疾病、儿童哮喘、慢性咳嗽、小儿神经系统疾病的诊治。	主任医师	副教授	武汉大学人民医院	40	0.96	0.96	携手共筑，孩子的美好明天欢迎你关注我的好大夫个人网站!孩子有病，全家着急。但在很多情况下，门诊看病时间只不过几分钟，但挂号、去医院、候诊，可能会耽误整天时间。外地患者就更不用说了，考虑长途旅费、住宿费，至少需要花费数千元。通过这个网站你可以这样与我联系：1.网上咨询—来院前、回家后遇到问题均可得到我的指导2.电话咨询—快速解决疾病疑问等待3.开处方—外地患者不方便，可申请在线开处方，调整用药4.家庭医生—长期需要咨询问诊的家庭可进行申请申请方法，详见我写的文章“就诊指南”我以专业知识解疑答惑，欢迎咨询。
283676	儿科	医学硕士、副主任医师、副教授	副主任医师	副教授	南方医科大学珠江医院	30	1.0	1.0	共同的愿望、愿景……尊敬的孩子父母、亲属：首先，热诚欢迎每位家长、朋友们关注我的公众号！我热爱国防，曾经是一名军人；更热爱小孩，已是一名临床经验丰富、儿科医学知识渊博的现代儿科医师。我笃信：“儿科强、儿童强、则国家强”这句话。我通过好大夫开辟这个平台真挚地希望帮助到：所有需要帮助、需要咨询了解的家长和孩子们！愿我们共同为孩子们的健康成长而努力！
2649549241	儿科	MD，PHD。2006年毕业于上海交通大学医学院瑞金医院，获博士学位，儿内科副主任医师。2006年7月起于浙江大学医学院附属儿童医院工作至今。2013年曾于北京大学第一医院妇儿医院心内科进修学习。2014年曾于美国西雅图儿童医院心内科学习交流。2020年1-3月于美国哈佛大学医学院波士顿儿童医院心内科培训学习。	副主任医师		浙江大学医学院附属儿童医院, 浙江大学医学院附属儿童医院	100	1.0	1.0	Untileverychildiswell为儿童健康而努力！
294705	儿科	朱娟，女，擅长儿童常见病肾脏病风湿免疫类疾病	主治医师		中国科学技术大学附属第一医院	30	1.0	1.0	我们这个班慢性病治疗总是波折很多，早期诱导是否有效往往需要时间验证，期间也包括家长孩子认真的配合治疗。每次和家长们谈到治疗效果和计划的时候，总是打着比方说，我们希望孩子对治疗敏感，做到满分交卷。看到激素治疗肾病的孩子4周内尿蛋白转阴的，总不忘夸一句，“不错嘛，第一站满分，继续加油哦”。复诊时一位家长和我说：“朱医生你就像是我们的班主任”，瞬间觉得这个说法太恰当了。我们可不就是一个班的么，有幸认识这么多小朋友和家长，暂时担任这个小小班主任，一起为心中的目标奋进，还真是十分激励人心。大家都取得好的治疗效果时，一起开心，有困难时一起想办法，最不济，我们也能感受班内的温暖。不过，有开心自然也会有让人生气的时候，下午一个单纯性肾病的小大姑娘（14岁了），病程1年，期间不按计划随访，未按医嘱用药，近1个月又自行停用激素，妥妥的全面复发，当时那个气啊，说了她和家长好半天，哎，原本能考进前三名的学生，偏偏考虑倒数第一，那个心情啊。。。。。因为疾病大家来到了我们的“肾风班级”，苦难、困难只是暂时的，我们都心存希望，善待自己身边的人，希望在我们共同努力下全班都以优异成绩毕业，这便是我们这个班的存在意义吧。?
65301	儿科	刘长山，男，主任医师，教授，硕导。天津医科大学第二医院儿科科主任、儿科教研室主任。天津医科大学小儿呼吸及哮喘研究中心主任。主要从事小儿呼吸、哮喘和过敏性疾病的临床和科研工作。	主任医师	教授	天津医科大学第二医院	40	1.0	1.0	
416181231	儿科	吴小艳，医学博士，留美博后。儿科行政副主任，主任医师、副教授、博士生导师。中华医学会儿科学血液学组委员，中华医学会湖北省儿科学会委员及血液学组秘书，湖北省抗癌协会小儿肿瘤委员会常委，武汉市儿科学会委员，中国嗜血细胞综合征联盟成员。中国遗传咨询学会成员。长期致力于儿童血液与遗传学研究，擅长儿童血液病、肿瘤性疾病及各种遗传性疾病的诊治。专攻肿瘤的早期诊断和微小残留检测以及肿瘤靶向治疗、各种遗传性疾病的研究。作为项目负责人主持两项国家自然科学基金课题及多项省自然科学基金、校青年科研基金和华中科技大学自主创新研究基金等，参加国家高新技术863和十一五重大攻关项目等研究工作。多次赴美从事医学遗传和肿瘤靶向等相关研究的博士后工作。获2005年北美华人遗传学年会杰出博士后奖。2013-2016年在美国康乃尔大学附属医院研究所,研究纳米技术药物靶向治疗难治性恶性血液病。发表国内外论文三十余篇，以第一作者发表文章在Clinicalcancerresearch、Journalofcontrolledrelease等等。参编全国普通高等教育临床医学专业“5+3”十三五规划《儿科学》等教材。	主任医师	副教授	华中科技大学同济医学院附属协和医院	50	0.92	0.92	
