head	relation	target
43	1	418
43	2	419
43	2	420
43	2	421
43	2	422
43	2	423
43	2	424
239	1	425
55	2	426
55	1	427
55	1	428
47	3	429
47	1	428
47	2	430
47	2	431
47	2	432
47	2	433
47	2	434
47	2	435
47	2	436
47	3	437
352	2	424
352	2	438
352	2	439
352	2	432
352	1	440
107	1	441
91	2	424
91	2	433
91	2	442
91	2	443
91	1	441
91	2	444
234	1	445
234	1	441
190	1	446
14	2	447
14	1	448
14	1	449
4	1	449
299	2	450
299	2	451
299	2	452
299	2	434
299	4	453
299	1	454
274	3	455
274	2	456
274	2	434
274	1	454
274	4	140
274	2	457
274	2	458
274	2	459
274	2	433
274	2	460
274	2	461
274	2	462
274	2	463
30	1	464
30	1	449
399	2	465
399	2	466
331	1	467
141	1	468
220	4	469
220	4	470
220	4	471
220	4	472
220	4	473
220	4	474
220	1	475
220	4	476
220	4	477
223	1	475
201	1	478
201	3	479
201	3	480
201	2	481
201	2	432
201	2	482
201	2	483
137	1	484
137	2	485
137	2	433
137	2	486
310	4	487
310	2	432
310	2	488
310	4	489
310	4	490
310	4	491
310	4	492
225	2	493
225	2	494
225	4	495
225	2	496
225	2	497
225	2	498
225	2	432
225	1	499
225	4	500
225	4	501
330	2	502
330	2	503
330	4	504
330	1	505
330	2	506
39	2	507
39	2	432
39	2	508
39	1	509
84	4	510
84	2	511
84	1	512
84	2	513
84	1	514
84	2	515
84	2	432
84	2	516
84	2	517
183	1	518
351	2	519
351	2	520
351	2	521
351	2	433
351	2	502
351	2	522
351	2	432
351	1	523
351	2	524
351	2	511
46	2	525
46	2	526
46	2	488
46	2	432
46	1	509
163	1	527
23	1	528
23	2	529
23	2	506
23	2	530
23	2	531
23	2	532
104	2	533
104	1	534
44	1	535
44	2	536
44	2	537
396	1	535
328	2	432
328	2	424
328	1	538
328	1	539
328	1	440
245	1	540
245	2	541
245	2	542
365	1	543
365	1	544
263	1	545
98	2	546
98	2	547
98	2	548
98	2	549
98	2	432
98	1	545
311	2	550
311	2	433
311	2	551
311	1	552
311	2	553
311	2	554
112	1	552
112	2	555
112	2	556
112	2	551
112	2	557
112	2	558
112	2	554
112	2	559
142	1	560
142	2	432
142	2	561
102	4	562
102	1	563
102	1	564
102	2	565
82	1	566
40	2	567
40	1	568
40	2	433
40	2	507
40	2	569
40	2	570
40	2	571
40	2	572
40	2	573
40	2	574
40	2	575
40	2	576
13	1	568
275	2	577
275	2	456
275	2	578
275	2	579
275	2	580
275	1	566
275	2	432
275	2	531
229	2	581
229	2	432
229	2	582
229	1	583
229	2	584
229	2	585
229	2	586
404	1	587
404	2	588
404	2	589
404	2	590
404	2	591
390	3	592
390	3	593
390	2	594
390	2	595
390	3	596
390	1	592
390	2	597
315	1	598
315	2	599
315	2	600
315	3	601
315	3	598
373	1	598
373	2	602
373	2	603
373	2	604
373	2	605
373	2	606
373	4	607
373	2	433
373	2	432
373	4	608
373	2	609
108	1	610
108	2	611
393	2	612
393	2	506
393	2	613
393	2	614
393	1	615
393	1	616
393	2	443
393	2	617
393	2	433
393	2	488
393	2	618
143	2	619
143	2	620
143	1	621
45	1	440
173	1	622
38	2	433
38	2	623
38	2	624
38	2	432
38	1	428
75	1	625
389	1	626
389	3	627
389	3	628
389	2	629
389	3	630
