patient_id	doctor_id	label	satisfying_score
1	1	1	0.671
1	2	1	0.662
1	14	1	0.572
1	26	1	0.623
1	29	1	0.557
1	32	1	0.478
1	116	0	0.453
1	279	0	0.406
1	260	0	0.322
1	366	0	0.456
1	364	0	0.306
1	415	0	0.446
1	339	0	0.344
2	1	1	0.609
2	2	1	0.514
2	4	1	0.614
2	9	1	0.631
2	27	1	0.445
2	388	0	0.265
2	270	0	0.257
2	394	0	0.505
2	317	0	0.328
2	46	0	0.259
2	393	0	0.623
3	1	1	0.588
3	1	1	0.588
3	4	1	0.575
3	7	1	0.691
3	18	1	0.582
3	366	0	0.593
3	171	0	0.505
3	299	0	0.456
3	308	0	0.462
3	338	0	0.245
3	117	0	0.473
4	1	1	0.532
4	18	1	0.598
4	21	1	0.608
4	22	1	0.599
4	25	1	0.453
4	36	1	0.466
4	253	0	0.342
4	119	0	0.508
4	395	0	0.244
4	206	0	0.412
5	1	1	0.504
5	8	1	0.457
5	11	1	0.627
5	18	1	0.637
5	19	1	0.511
5	25	1	0.624
5	279	0	0.383
5	120	0	0.528
5	359	0	0.352
5	190	0	0.443
5	209	0	0.279
5	76	0	0.475
5	39	0	0.313
6	1	1	0.746
6	2	1	0.659
6	3	1	0.535
6	19	1	0.47
6	55	0	0.459
6	307	0	0.405
6	322	0	0.344
6	403	0	0.4
6	353	0	0.386
7	1	1	0.468
7	1	1	0.468
7	22	1	0.597
7	30	1	0.738
7	32	1	0.441
7	335	0	0.268
7	354	0	0.294
7	374	0	0.379
7	319	0	0.454
7	80	0	0.366
7	247	0	0.292
8	1	1	0.607
8	4	1	0.525
8	7	1	0.637
8	11	1	0.585
8	221	0	0.526
8	365	0	0.215
8	130	0	0.356
8	229	0	0.267
8	47	0	0.28
8	103	0	0.285
8	373	0	0.399
9	1	1	0.281
9	3	1	0.527
9	7	1	0.516
9	8	1	0.523
9	9	1	0.643
9	15	1	0.623
9	18	1	0.67
9	367	0	0.554
9	205	0	0.56
9	173	0	0.253
9	138	0	0.543
10	1	1	0.479
10	4	1	0.543
10	11	1	0.634
10	14	1	0.523
10	18	1	0.625
10	33	1	0.758
10	181	0	0.284
10	78	0	0.445
10	149	0	0.465
10	324	0	0.464
11	1	1	0.501
11	4	1	0.534
11	16	1	0.808
11	18	1	0.538
11	25	1	0.53
11	28	1	0.502
11	303	0	0.395
11	233	0	0.395
11	109	0	0.5
11	295	0	0.351
11	230	0	0.28
11	95	0	0.462
12	1	1	0.476
12	2	1	0.539
12	5	1	0.599
12	7	1	0.617
12	8	1	0.401
12	21	1	0.484
12	408	0	0.559
12	135	0	0.332
12	291	0	0.24
12	220	0	0.277
12	81	0	0.446
12	334	0	0.455
13	1	1	0.546
13	3	1	0.573
13	16	1	0.76
13	21	1	0.576
13	30	1	0.712
13	33	1	0.759
13	122	0	0.471
13	275	0	0.505
13	376	0	0.47
13	282	0	0.485
14	1	1	0.495
14	2	1	0.678
14	13	1	0.52
14	20	1	0.584
14	30	1	0.636
14	35	1	0.463
14	345	0	0.34
14	214	0	0.49
14	307	0	0.41
14	322	0	0.252
15	1	1	0.641
15	2	1	0.544
15	4	1	0.617
15	7	1	0.685
15	10	1	0.534
15	11	1	0.661
15	85	0	0.472
15	263	0	0.287
15	55	0	0.458
15	143	0	0.379
15	292	0	0.341
16	1	1	0.562
16	2	1	0.603
16	8	1	0.422
16	9	1	0.59
16	14	1	0.482
16	22	1	0.557
16	225	0	0.216
16	317	0	0.261
16	102	0	0.49
16	360	0	0.168
16	113	0	0.513
16	160	0	0.609
17	1	1	0.57
17	1	1	0.57
17	8	1	0.557
17	20	1	0.643
17	22	1	0.547
17	30	1	0.602
17	316	0	0.455
17	188	0	0.495
17	157	0	0.448
17	218	0	0.359
17	74	0	0.363
17	240	0	0.466
18	1	1	0.659
18	13	1	0.858
18	17	1	0.577
18	19	1	0.497
18	23	1	0.556
18	101	0	0.493
18	231	0	0.373
